y,x,lat_lon1
43.63,-80.39,43.63###-80.39
43.64,-80.41,43.64###-80.41
64.87,-111.58,64.87###-111.58
69.33,-138.74,69.33###-138.74
57.29,-111.27,57.29###-111.27
67.54,-139.86,67.54###-139.86
57.08,-111.54,57.08###-111.54
57.31,-111.68,57.31###-111.68
43.49,-80.57,43.49###-80.57
48.61,-124.23,48.61###-124.23
-77.435,162.189,-77.435###162.189
-77.364,163.743,-77.364###163.743
-77.316,161.405,-77.316###161.405
-40.017,175.267,-40.017###175.267
46.038,-89.614,46.038###-89.614
46.745,-94.598,46.745###-94.598
33.674,-80.766,33.674###-80.766
46.73,-94.686,46.73###-94.686
46.009,-89.701,46.009###-89.701
31.712,-106.466,31.712###-106.466
32.551,-117.112,32.551###-117.112
55.873,-4.284,55.873###-4.284
55.905,-3.204,55.905###-3.204
55.906,-3.204,55.906###-3.204
55.905,-3.203,55.905###-3.203
57.183,-2.85,57.183###-2.85
45.942894,-106.949183,45.942894###-106.949183
45.183433,-106.740083,45.183433###-106.740083
45.414297,-106.440583,45.414297###-106.440583
45.652528,-106.289931,45.652528###-106.289931
45.322819,-106.51465,45.322819###-106.51465
65.154,-147.501,65.154###-147.501
65.154,-147.503,65.154###-147.503
29.69,-81.994,29.69###-81.994
19.931,-155.289,19.931###-155.289
40.177,-112.455,40.177###-112.455
40.177,-112.453,40.177###-112.453
50.868,-121.737,50.868###-121.737
50.865,-121.742,50.865###-121.742
50.867,-121.736,50.867###-121.736
50.864,-121.74,50.864###-121.74
50.866,-121.748,50.866###-121.748
50.52,-121.45,50.52###-121.45
50.516,-121.445,50.516###-121.445
50.515,-121.443,50.515###-121.443
50.879,-121.752,50.879###-121.752
50.877,-121.753,50.877###-121.753
50.865,-121.743,50.865###-121.743
26.895,70.688333,26.895###70.688333
27.013056,75.875783,27.013056###75.875783
43.984,11.342,43.984###11.342
43.984,11.341,43.984###11.341
43.985,11.342,43.985###11.342
20.586,-87.174,20.586###-87.174
20.37,-87.334,20.37###-87.334
20.989,-88.602,20.989###-88.602
20.91,-88.867,20.91###-88.867
51.024,100.772,51.024###100.772
-37.637472,145.859782,-37.637472###145.859782
-37.939848,145.412228,-37.939848###145.412228
-29.53,145.49,-29.53###145.49
-37.619704,144.901997,-37.619704###144.901997
-37.625347,145.57919,-37.625347###145.57919
-37.708936,145.785023,-37.708936###145.785023
-37.681999,145.293841,-37.681999###145.293841
-37.827006,145.415048,-37.827006###145.415048
-37.673563,145.89612,-37.673563###145.89612
-37.53966,145.139673,-37.53966###145.139673
19.389,-155.25,19.389###-155.25
19.389,-155.249,19.389###-155.249
19.389,-155.251,19.389###-155.251
44.532,-110.876,44.532###-110.876
44.531,-110.876,44.531###-110.876
44.531,-110.875,44.531###-110.875
44.531,-110.872,44.531###-110.872
44.531,-110.871,44.531###-110.871
44.567,-110.863,44.567###-110.863
39.1,-108.36,39.1###-108.36
39.19,-108.28,39.19###-108.28
39.03,-108.56,39.03###-108.56
53.167,13.033,53.167###13.033
53.333,13.433,53.333###13.433
53.517,12.7,53.517###12.7
53.333,13.467,53.333###13.467
53.1,13.033,53.1###13.033
9.166,-79.837,9.166###-79.837
9.165,-79.836,9.165###-79.836
9.162,-79.829,9.162###-79.829
9.187,-79.843,9.187###-79.843
9.163,-79.836,9.163###-79.836
9.163,-79.838,9.163###-79.838
9.186,-79.83,9.186###-79.83
9.19,-79.841,9.19###-79.841
9.191,-79.846,9.191###-79.846
9.119,-79.727,9.119###-79.727
9.14,-79.829,9.14###-79.829
9.159,-79.82,9.159###-79.82
9.171,-79.87,9.171###-79.87
9.165,-79.837,9.165###-79.837
9.169,-79.854,9.169###-79.854
9.167,-79.859,9.167###-79.859
9.192,-79.842,9.192###-79.842
41.841521,-88.230357,41.841521###-88.230357
41.841508,-88.230357,41.841508###-88.230357
41.841518,-88.230357,41.841518###-88.230357
41.841526,-88.230357,41.841526###-88.230357
41.84151,-88.230357,41.84151###-88.230357
41.841116,-88.230357,41.841116###-88.230357
41.841125,-88.230357,41.841125###-88.230357
41.841111,-88.230357,41.841111###-88.230357
41.841114,-88.230357,41.841114###-88.230357
41.841121,-88.230357,41.841121###-88.230357
41.841123,-88.230357,41.841123###-88.230357
41.841126,-88.230357,41.841126###-88.230357
41.840732,-88.230357,41.840732###-88.230357
41.840725,-88.230357,41.840725###-88.230357
41.84073,-88.230357,41.84073###-88.230357
41.840733,-88.230357,41.840733###-88.230357
41.840715,-88.230357,41.840715###-88.230357
41.840726,-88.230357,41.840726###-88.230357
41.840717,-88.230357,41.840717###-88.230357
