y,x,lat_lon1
35.5694,139.724,35.5694###139.724
37.56,140.75,37.56###140.75
35.7344,139.902,35.7344###139.902
35.25,128.29,35.25###128.29
35.0272,135.69,35.0272###135.69
32.05,118.98,32.05###118.98
35.571,139.725,35.571###139.725
35.39,139.26,35.39###139.26
35.53,139.23,35.53###139.23
35.71,139.76,35.71###139.76
34.7011,137.407,34.7011###137.407
44.28,87.91,44.28###87.91
36.06,140.13,36.06###140.13
35.5699,139.612,35.5699###139.612
35.5699,139.613,35.5699###139.613
35.5699,139.614,35.5699###139.614
35.48,133.06,35.48###133.06
35.07,132.8,35.07###132.8
43.71,142.01,43.71###142.01
31.82,131.41,31.82###131.41
36.3,138,36.3###138
36.1,137.93,36.1###137.93
26.6303,128.058,26.6303###128.058
26.6247,128.056,26.6247###128.056
26.6241,128.054,26.6241###128.054
26.728,128.179,26.728###128.179
28.38,77.13,28.38###77.13
34.82,135.53,34.82###135.53
36.0293,140.212,36.0293###140.212
32.06,118.81,32.06###118.81
35.604,135.889,35.604###135.889
35.589,135.883,35.589###135.883
35.008,135.902,35.008###135.902
31.28,92.02,31.28###92.02
36.1093,140.221,36.1093###140.221
35.7109,139.763,35.7109###139.763
33.6,120.6,33.6###120.6
31.55,130.47,31.55###130.47
31.53,130.49,31.53###130.49
31.54,130.49,31.54###130.49
43.0111,141.419,43.0111###141.419
29.57,106.55,29.57###106.55
31.64,120.74,31.64###120.74
28.23,117.02,28.23###117.02
35.12,140.06,35.12###140.06
43.38,144.65,43.38###144.65
37.49,141.03,37.49###141.03
37.5,140.97,37.5###140.97
37.49,141.01,37.49###141.01
37.49,141,37.49###141
37.47,140.96,37.47###140.96
40.6,140.47,40.6###140.47
40.6,140.44,40.6###140.44
40.62,140.47,40.62###140.47
37.79,117.65,37.79###117.65
34.4,135.3,34.4###135.3
33.8,132.8,33.8###132.8
34.97,135.96,34.97###135.96
34.8817,138.324,34.8817###138.324
35.9443,138.802,35.9443###138.802
35.9439,138.802,35.9439###138.802
35.9434,138.802,35.9434###138.802
35.9436,138.803,35.9436###138.803
35.9463,138.804,35.9463###138.804
35.9459,138.804,35.9459###138.804
35.9455,138.803,35.9455###138.803
35.9452,138.803,35.9452###138.803
35.9483,138.804,35.9483###138.804
35.9479,138.804,35.9479###138.804
35.9418,138.8,35.9418###138.8
35.9416,138.801,35.9416###138.801
35.9488,138.827,35.9488###138.827
35.949,138.828,35.949###138.828
35.937,138.805,35.937###138.805
35.9367,138.804,35.9367###138.804
35.9581,138.8,35.9581###138.8
35.9583,138.8,35.9583###138.8
35.941,138.799,35.941###138.799
35.941,138.8,35.941###138.8
35.9588,138.799,35.9588###138.799
35.9588,138.798,35.9588###138.798
35.9505,138.825,35.9505###138.825
35.9504,138.825,35.9504###138.825
35.9572,138.82,35.9572###138.82
35.9574,138.82,35.9574###138.82
35.9578,138.815,35.9578###138.815
35.9579,138.815,35.9579###138.815
35.9598,138.798,35.9598###138.798
35.9595,138.798,35.9595###138.798
35.9136,138.819,35.9136###138.819
35.917,138.818,35.917###138.818
35.9174,138.818,35.9174###138.818
35.9196,138.819,35.9196###138.819
35.9199,138.818,35.9199###138.818
35.9224,138.811,35.9224###138.811
35.9226,138.81,35.9226###138.81
35.9158,138.799,35.9158###138.799
35.9156,138.8,35.9156###138.8
35.9154,138.801,35.9154###138.801
35.9157,138.801,35.9157###138.801
35.9148,138.797,35.9148###138.797
35.9149,138.798,35.9149###138.798
35.9168,138.802,35.9168###138.802
35.917,138.802,35.917###138.802
35.92,138.807,35.92###138.807
35.9202,138.807,35.9202###138.807
35.9195,138.803,35.9195###138.803
35.92,138.804,35.92###138.804
35.9218,138.814,35.9218###138.814
35.9219,138.813,35.9219###138.813
35.9169,138.819,35.9169###138.819
35.9174,138.819,35.9174###138.819
35.9155,138.82,35.9155###138.82
35.9155,138.819,35.9155###138.819
35.9195,138.832,35.9195###138.832
35.9195,138.831,35.9195###138.831
35.9272,138.827,35.9272###138.827
35.9271,138.827,35.9271###138.827
32.104,130.3,32.104###130.3
40.59,140.47,40.59###140.47
33.3303,133.404,33.3303###133.404
41.77,140.7,41.77###140.7
34.48,107.59,34.48###107.59
36.25,109.32,36.25###109.32
36.45,109.15,36.45###109.15
36.42,109.53,36.42###109.53
36.08,109.55,36.08###109.55
34.8,107.98,34.8###107.98
36.75,109.25,36.75###109.25
36.06,109.15,36.06###109.15
38.19,140.962,38.19###140.962
38.19,140.963,38.19###140.963
38.19,140.964,38.19###140.964
38.19,140.965,38.19###140.965
38.19,140.966,38.19###140.966
38.19,140.967,38.19###140.967
38.19,140.968,38.19###140.968
38.19,140.969,38.19###140.969
38.19,140.97,38.19###140.97
38.19,140.971,38.19###140.971
38.19,140.972,38.19###140.972
38.19,140.973,38.19###140.973
38.19,140.974,38.19###140.974
38.19,140.975,38.19###140.975
38.19,140.976,38.19###140.976
38.19,140.977,38.19###140.977
38.19,140.978,38.19###140.978
38.19,140.979,38.19###140.979
38.19,140.98,38.19###140.98
38.19,140.981,38.19###140.981
38.19,140.982,38.19###140.982
38.19,140.983,38.19###140.983
38.19,140.984,38.19###140.984
38.19,140.985,38.19###140.985
42.8902,141.539,42.8902###141.539
34.906,138.272,34.906###138.272
35.53,139.76,35.53###139.76
31.99,131.46,31.99###131.46
34.73,137.72,34.73###137.72
-1.18334,120.1,-1.18334###120.1
-1.46671,119,-1.46671###119
-1.16689,120.15,-1.16689###120.15
-1.08349,120,-1.08349###120
-0.916793,120.2,-0.916793###120.2
-0.933589,120.217,-0.933589###120.217
-1.30025,120.217,-1.30025###120.217
-1.30026,120.583,-1.30026###120.583
-1.91671,119.883,-1.91671###119.883
-1.10001,119.9,-1.10001###119.9
-0.916797,119.517,-0.916797###119.517
-0.916785,119.517,-0.916785###119.517
37.87,138.94,37.87###138.94
37.87,138.95,37.87###138.95
39.5,141.2,39.5###141.2
34.8,134.8,34.8###134.8
33.5,130.5,33.5###130.5
35.4,136.8,35.4###136.8
32,130.2,32###130.2
35.3,132.6,35.3###132.6
40.6,141.3,40.6###141.3
34.1215,134.195,34.1215###134.195
34.1158,134.172,34.1158###134.172
34.83,135.52,34.83###135.52
34.82,135.52,34.82###135.52
35.1709,136.882,35.1709###136.882
33.5863,130.422,33.5863###130.422
39.7013,141.134,39.7013###141.134
34.6738,133.923,34.6738###133.923
35.6581,139.751,35.6581###139.751
35.6852,139.41,35.6852###139.41
35.664,139.438,35.664###139.438
35.6684,139.428,35.6684###139.428
35.6538,139.513,35.6538###139.513
35.5619,139.753,35.5619###139.753
35.6306,139.775,35.6306###139.775
34.334,136.692,34.334###136.692
35.3091,135.704,35.3091###135.704
35.3438,135.76,35.3438###135.76
35.3482,135.749,35.3482###135.749
24.52,115.42,24.52###115.42
35.32,139.45,35.32###139.45
35.24,139.54,35.24###139.54
35.4,139.57,35.4###139.57
35.41,139.56,35.41###139.56
36.3122,140.034,36.3122###140.034
34.5911,138.175,34.5911###138.175
34.5735,138.052,34.5735###138.052
35.1658,138.202,35.1658###138.202
33,130,33###130
44.3816,31.233,44.3816###31.233
46.1947,31.28,46.1947###31.28
46.121,30.4965,46.121###30.4965
45.1868,29.512,45.1868###29.512
42.0736,41.3699,42.0736###41.3699
45.3097,29.5173,45.3097###29.5173
42.1407,39.5316,42.1407###39.5316
45.12,29.4862,45.12###29.4862
43.3156,36.0418,43.3156###36.0418
43.2205,31.4999,43.2205###31.4999
46.3053,30.4943,46.3053###30.4943
41.5426,41.4495,41.5426###41.4495
41.4576,41.4288,41.4576###41.4288
35.6827,139.718,35.6827###139.718
35.63,139.75,35.63###139.75
38.27,140.87,38.27###140.87
35.18,136.9,35.18###136.9
36.37,140.47,36.37###140.47
34.69,135.5,34.69###135.5
34.39,132.46,34.39###132.46
33.59,130.4,33.59###130.4
37.92,139.04,37.92###139.04
33.56,133.53,33.56###133.53
43.06,141.35,43.06###141.35
35.64,138.676,35.64###138.676
36.0506,138.112,36.0506###138.112
35.3358,139.488,35.3358###139.488
35.71,139.8,35.71###139.8
7.27079,80.5746,7.27079###80.5746
7.27534,80.5735,7.27534###80.5735
7.28432,80.5623,7.28432###80.5623
7.2847,80.5541,7.2847###80.5541
7.26751,80.55,7.26751###80.55
7.25719,80.5648,7.25719###80.5648
7.24424,80.5634,7.24424###80.5634
7.24665,80.5578,7.24665###80.5578
7.22798,80.5578,7.22798###80.5578
7.21761,80.5697,7.21761###80.5697
7.42954,80.9881,7.42954###80.9881
7.43869,80.986,7.43869###80.986
7.44891,80.986,7.44891###80.986
7.46822,80.9848,7.46822###80.9848
7.48481,80.9848,7.48481###80.9848
7.49467,80.9856,7.49467###80.9856
7.51486,80.9886,7.51486###80.9886
7.52362,80.9792,7.52362###80.9792
7.52676,80.9952,7.52676###80.9952
7.50768,81.0032,7.50768###81.0032
33.8332,135.177,33.8332###135.177
20.15,110.69,20.15###110.69
32.33,121.19,32.33###121.19
34.26,131.03,34.26###131.03
34.3,132.33,34.3###132.33
34.68,135.84,34.68###135.84
35.63,139.76,35.63###139.76
35.63,139.78,35.63###139.78
